rank,ticker,composite_score,technical_score,sentiment_score,price,percent_change,volume,headline_count,positive_ratio,negative_ratio,sentiment_std
1,AAPL,85.24212635755256,100.0,63.10531589388139,229.35000610351562,4.235789381413972,113696100,20,0.45,0.05,0.29290915494847813
2,UNH,54.771138946835265,61.79573826801609,44.23423996506405,250.88999938964844,2.5422002154952392,10152500,20,0.5,0.2,0.40340308074261355
3,VTI,51.19709715790159,18.661828596502648,100.0,313.0299987792969,0.6300804992219278,2874600,20,0.55,0.15,0.4063297614331441
4,GOOGL,47.156168469185936,60.69448304066645,26.84869661196517,201.4199981689453,2.493381737205177,39123500,20,0.55,0.15,0.36750062724615284
5,VOO,39.52185807478236,21.717565248031953,66.22829731490796,585.739990234375,0.7655408445424673,4331400,20,0.65,0.1,0.29685747758815173
6,WFC,39.43503941416486,41.25976682546793,36.69794829721025,77.8499984741211,1.6318436958298093,14121800,20,0.55,0.2,0.2940303468047223
7,BAC,38.54600295045352,59.18657729502844,7.585141433591139,46.0099983215332,2.426536502713938,37121700,20,0.35,0.2,0.33924756970777487
8,JNJ,37.909617725485035,28.120475787577824,52.59333063234585,173.3300018310547,1.049380903962944,7686200,20,0.5,0.15,0.3111589363298035
9,META,37.48215466836493,26.567322376545086,53.854403106094686,769.2999877929688,0.9805298472827246,7311700,20,0.6,0.25,0.4513052164497291
10,PFE,36.994775719075406,37.03345440236063,36.93675769414757,24.579999923706055,1.4444919029388599,36358700,20,0.4,0.3,0.40348540999514143
11,NVDA,35.10426043861149,28.532614575798533,44.96172923283092,182.6999969482422,1.0676509543432429,122765700,20,0.4,0.1,0.38925817694146064
12,TSLA,33.71523879849534,56.10671944454125,0.12801782942648499,329.6499938964844,2.290006868278204,91006400,20,0.45,0.2,0.3024053871613575
13,PEP,33.31139879417327,24.668091841444127,46.276359223266994,145.2100067138672,0.8963372438398417,5313900,20,0.4,0.1,0.36440299106173213
14,AMZN,33.0319023714484,0.0,82.579755928621,222.69000244140625,-0.19719555047620715,32916900,20,0.7,0.05,0.3635001302758038
15,MSFT,24.426250170590336,9.645492172977564,46.59738716700949,522.0399780273438,0.23038766415853484,15516600,20,0.5,0.15,0.3712530864305515
16,QQQ,22.629020980364782,25.491127669856205,18.33586094612765,574.5499877929688,0.9328222980974067,35205600,20,0.5,0.2,0.353854958206563
17,WMT,20.336277043201765,17.79252515296095,24.151904878562988,103.7300033569336,0.5915444085573217,12392700,20,0.35,0.2,0.2507542277546724
18,HD,15.504294237039016,14.262065187198742,17.36763781179943,387.8500061035156,0.43503965024866803,2326700,20,0.35,0.1,0.2552987506411799
19,SPY,15.47133228339927,22.038180838893584,5.621059450157803,637.1799926757812,0.7797536853746541,63902600,20,0.4,0.2,0.2849599120467372
20,IWM,13.873922783088837,9.373845597755073,20.624038561089478,220.32000732421875,0.21834561241092618,28298400,20,0.45,0.2,0.2570567096965181
21,KO,13.038056248642292,1.5656146933191593,30.24671858162699,70.33999633789062,-0.12779208702991018,9231200,20,0.4,0.15,0.3672382855786374
22,JPM,11.253957146896044,18.75659524482674,0.0,288.760009765625,0.6342814904625922,6634100,20,0.35,0.35,0.31614432164007494
23,GS,9.440873693449163,9.243802854469264,9.73647995191901,721.27001953125,0.21258083719604962,1275400,20,0.4,0.2,0.33608555677637236
